table,regression,set_id,reasoning_combo,variant,tuning,F0.5,F0.5_std,ROC-AUC,ROC-AUC_std,PR-AUC,PR-AUC_std,Prec,Prec_std,Rec,Rec_std,Acc,Acc_std
Table 2,LLM Engineered Only,set_01,,,oof,0.24397642013629928,0.017976412210739475,0.6450145557274135,0.01896019030490147,0.17752462683661568,0.01627850463554565,0.2532284062718845,0.018334084851381164,0.21455696202531643,0.024381468714250915,0.8722727272727273,0.005112373581455442
Table 2,LLM Engineered + Reasoning,set_01,A,,oof,0.27180947015828505,0.03174054936511722,0.6961817294491459,0.017414868492193144,0.22047394378143598,0.03180632134784723,0.26271057908756806,0.03388227054372959,0.3207594936708861,0.03926581462347605,0.8565909090909092,0.013472500304799009
Table 2,LLM Engineered + Reasoning,set_01,B,,oof,0.23688087644002662,0.038210459150145065,0.6366846754304349,0.02095659345206761,0.17487104891707128,0.018584608483245203,0.26784840431899254,0.05359121251117882,0.1641139240506329,0.015682415341309826,0.8831818181818182,0.007983712759204694
Table 2,LLM Engineered + Reasoning,set_01,E,,oof,0.24411588183370792,0.04135334616436671,0.6457168011405839,0.026463827889508382,0.1787054679351574,0.015552054320759543,0.254821891153791,0.04422681620286272,0.2094620253164557,0.03346425844830022,0.8734090909090909,0.007558313249234495
Table 2,LLM Engineered + Reasoning,set_01,A+B,,oof,0.2721046235085751,0.03743964855864801,0.6925737811912326,0.015093172569076286,0.21701436141566505,0.03094410922904052,0.2776104167408515,0.04931823816774924,0.26012658227848096,0.026279163913957834,0.8702272727272728,0.013298853489388912
Table 2,LLM Engineered + Reasoning,set_01,A+E,,oof,0.27786144096498405,0.02044437521363174,0.7006751859819212,0.021923384161089337,0.22162209215832399,0.028793168919944854,0.29658641824385146,0.0217900816345013,0.22737341772151898,0.038039238379143574,0.8815909090909091,0.007056443043754568
Table 2,LLM Engineered + Reasoning,set_01,B+E,,oof,0.2378565794571661,0.030601387921842946,0.6432724922812071,0.027162803442983014,0.17485447548034827,0.014705022701135313,0.2446032015547452,0.03175772144273822,0.21452531645569622,0.027706848323101625,0.8695454545454545,0.0058564085121478
Table 2,LLM Engineered + Reasoning,set_01,A+B+E,,oof,0.27930518002065075,0.02135492384570196,0.6989324237701291,0.020103363574379536,0.21940369020319594,0.026693555122049496,0.3067125211827928,0.024445168435395667,0.2096518987341772,0.030917251852411336,0.885909090909091,0.0057764841032449344
Table 2,LLM Engineered Only,set_02,,,oof,0.2275676662735624,0.02190223056239093,0.6675219234708593,0.03549114971003377,0.1767135441914803,0.019799436072255046,0.2299218194740583,0.0254374989289734,0.2196835443037975,0.012620830833750415,0.8629545454545454,0.006990252954195332
Table 2,LLM Engineered + Reasoning,set_02,A,,oof,0.2851922299293217,0.025361503798720385,0.7028054618238279,0.02476208159173464,0.2167995710440115,0.028108068963083054,0.2975964912280702,0.027534043098949627,0.24749999999999997,0.034679906027412784,0.8795454545454545,0.005426061993778796
Table 2,LLM Engineered + Reasoning,set_02,B,,oof,0.2160582504573953,0.029874769807615168,0.6574685419679119,0.03755017995955889,0.17566250329160127,0.02183230301057342,0.21305391272756874,0.03151351105197352,0.2296835443037975,0.023182534353574008,0.8536363636363635,0.008576346483687818
Table 2,LLM Engineered + Reasoning,set_02,E,,oof,0.23504243093253047,0.017844006059259364,0.6698857114178874,0.043915398162842546,0.18196483651610995,0.01844714993161964,0.22738170594427082,0.018296423985059825,0.27265822784810123,0.02105379532789042,0.8509090909090908,0.006523954588366971
Table 2,LLM Engineered + Reasoning,set_02,A+B,,oof,0.2870246461408252,0.04997884369942938,0.6986585275624615,0.02309546393146494,0.2141351079870005,0.028984854555701822,0.31772011755839247,0.06145274873370073,0.20952531645569622,0.03401514549987496,0.8877272727272727,0.007918750631901984
Table 2,LLM Engineered + Reasoning,set_02,A+E,,oof,0.2838446848305251,0.03503502032031232,0.7064732051213672,0.02324927200618662,0.21590415675062027,0.027473523799097132,0.30500845310311947,0.04033084692708529,0.22474683544303797,0.0333709396367802,0.8838636363636365,0.006115283657760756
Table 2,LLM Engineered + Reasoning,set_02,B+E,,oof,0.23437165987688752,0.016976456276537714,0.6684400954256151,0.043923861020916485,0.18001551222536535,0.019084218350606395,0.2187839843001666,0.015815798386255017,0.32819620253164555,0.026509922622224076,0.834090909090909,0.004545454545454553
Table 2,LLM Engineered + Reasoning,set_02,A+B+E,,oof,0.2896163237254956,0.037805487761915245,0.7055294217374642,0.023517994681842194,0.21753604642357058,0.026691352839224546,0.32748520696633904,0.04100317162326489,0.1995253164556962,0.033551766545073976,0.8911363636363635,0.0045112348275634815
Table 2,LLM Engineered Only,set_03,,,oof,0.23054731666800693,0.030153565249376266,0.6614705381870368,0.03230329320018351,0.176130835755651,0.01763264287510141,0.2351435890739646,0.03294038566244398,0.21458860759493667,0.021994103447162374,0.865909090909091,0.007905694150420936
Table 2,LLM Engineered + Reasoning,set_03,A,,oof,0.263750228052234,0.03145923148214034,0.6999076730382512,0.0353562169692836,0.2166910051516661,0.035519428270844665,0.2700593194416435,0.032386618522771776,0.24240506329113926,0.033226341135206804,0.8727272727272728,0.006306562238868914
Table 2,LLM Engineered + Reasoning,set_03,B,,oof,0.22094272539515858,0.022795940378614498,0.6529378964585407,0.03065680668514664,0.1751963947631729,0.019941716166107334,0.24700568281168037,0.031318133209333264,0.1565506329113924,0.009847621282761503,0.8804545454545455,0.006484246644403239
Table 2,LLM Engineered + Reasoning,set_03,E,,oof,0.23565147845700518,0.015005881887497656,0.6695167530894925,0.04637171361288803,0.18224026313466352,0.021240935772937633,0.28625380038423515,0.02693534622927691,0.13889240506329112,0.0006962025316455624,0.890909090909091,0.00443036106582227
Table 2,LLM Engineered + Reasoning,set_03,A+B,,oof,0.2630353425895488,0.041828999919968524,0.6971021229149876,0.03390746992240301,0.21572654575744582,0.034567252968636566,0.2822928041463208,0.0452883950170264,0.20699367088607595,0.03301353429372643,0.8811363636363636,0.0064523043484447295
Table 2,LLM Engineered + Reasoning,set_03,A+E,,oof,0.2729654791642952,0.048573307173442666,0.7050821364512714,0.0404014920705225,0.22048544493010888,0.03409556410144961,0.3354501117659012,0.056956491121019255,0.15651898734177214,0.030308196332700432,0.8963636363636365,0.004215281134316213
Table 2,LLM Engineered + Reasoning,set_03,B+E,,oof,0.2304996418172527,0.02335776152458847,0.6638180994336589,0.044177777991924246,0.18020344238213187,0.020112862890126967,0.2636742291069608,0.03098734636756733,0.1539873417721519,0.011593858774724446,0.8847727272727273,0.004906143896573365
Table 2,LLM Engineered + Reasoning,set_03,A+B+E,,oof,0.27221503883876536,0.037390060136103985,0.7031160666453327,0.03918165464819634,0.21812781217785346,0.0330526360928265,0.3170213267350065,0.0440835256159853,0.17424050632911392,0.024515494153967265,0.8918181818181818,0.00462431589758542
Table 2,LLM Engineered Only,set_04,,,oof,0.22291695566769917,0.015399133694898872,0.6703819875323962,0.02727758569835646,0.1812813216071285,0.0139170448586328,0.22949733177158382,0.020452268571795783,0.2020253164556962,0.01136706041551577,0.8663636363636364,0.008819821778151014
Table 2,LLM Engineered + Reasoning,set_04,A,,oof,0.2599613552962978,0.02300420299231898,0.7036609771804232,0.0342318066679327,0.21622927582631993,0.03413193173559617,0.2447660700401281,0.023508936412159412,0.34844936708860763,0.033149153346191194,0.8440909090909091,0.009436608860012125
Table 2,LLM Engineered + Reasoning,set_04,B,,oof,0.22181467274818303,0.023726082189921126,0.6667671683882093,0.028610045561087257,0.17882428075395956,0.014697574999654515,0.20461144344743548,0.02223717742249502,0.3382278481012658,0.045558367105628335,0.821590909090909,0.014247661835143173
Table 2,LLM Engineered + Reasoning,set_04,E,,oof,0.23102984019177192,0.014010150006030304,0.6771955037166754,0.040258819789484646,0.18473908554564025,0.020122461297799436,0.22813356971842244,0.01756793233333887,0.24493670886075952,0.005517593599418577,0.8568181818181818,0.008035304331665308
Table 2,LLM Engineered + Reasoning,set_04,A+B,,oof,0.25820105274145694,0.020070616223715403,0.7021076596797516,0.03191068123873132,0.21424576180630078,0.031434888356305715,0.239223565990723,0.020685290165927284,0.3813291139240506,0.03155049007750509,0.8345454545454546,0.01022979766811536
Table 2,LLM Engineered + Reasoning,set_04,A+E,,oof,0.2660474573729634,0.02687707347030749,0.7069500038026044,0.03648433295028109,0.21978815138811,0.03524330050085158,0.25884128926968586,0.02537517667624539,0.30306962025316453,0.05083539418273914,0.8593181818181819,0.007237128785495735
Table 2,LLM Engineered + Reasoning,set_04,B+E,,oof,0.22120066812234723,0.016221944377004284,0.6730525637454765,0.038300206403034436,0.1817653441578543,0.018797731323395354,0.21887128925088417,0.01908209048072021,0.2323101265822785,0.009739640612617008,0.8556818181818182,0.008035304331665325
Table 2,LLM Engineered + Reasoning,set_04,A+B+E,,oof,0.2659174739579995,0.04151283470724115,0.7067651189079316,0.03516123943292374,0.2182021272606259,0.03204304743003385,0.2692886456908345,0.041314343887451324,0.255,0.048654546153472804,0.8709090909090909,0.006412152718029938
