model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 1,Human Only,,,,train,4400,0.22100018466855423,0.022697936014814193,0.6737642378642599,0.02567597884341348,0.18143011076338558,0.015391680311546486,0.22048312180004898,0.019935606717833836,0.2296835443037975,0.04895003976715665,0.8577272727272727,0.01100338039719108
logistic,Table 1,Reasoning Only,,A,,train,4400,0.2279340722668314,0.05930271238706179,0.6042850484313517,0.06328519766090052,0.17087046386227836,0.04170813154890086,0.26395937025918054,0.04809315257697202,0.17186708860759492,0.09611006965716384,0.8838636363636365,0.011883560420364894
logistic,Table 1,Human + Reasoning,,A,,train,4400,0.2744017655657412,0.04409763457496144,0.70078271476813,0.05058153936809139,0.22117664547709143,0.037932610189025814,0.27973249877899475,0.039981122445775515,0.2651898734177215,0.08520595330403251,0.8731818181818181,0.008521969663296661
logistic,Table 1,Reasoning Only,,B,,train,4400,0.11348055725867741,0.012203886844838092,0.5037138686165631,0.022331033776367006,0.09480265769107707,0.009732668836824897,0.09538611623557453,0.00975017653307563,0.4798101265822784,0.10223907311993928,0.5486363636363637,0.04577952012428612
logistic,Table 1,Human + Reasoning,,B,,train,4400,0.21224138939390186,0.04128430182775149,0.67457552863608,0.022585385762370076,0.18000688011382365,0.014363703235434188,0.2208250642791847,0.038900173313071607,0.18943037974683546,0.05727746694675459,0.8675,0.009764795935882193
logistic,Table 1,Reasoning Only,,E,,train,4400,0.11795166245197881,0.008579384458873612,0.5243704096392563,0.023300804271274737,0.10230554543763257,0.005355677363669994,0.10302883392486584,0.008571470744918708,0.34617088607594937,0.16722425688580905,0.6609090909090909,0.14369245164989367
logistic,Table 1,Human + Reasoning,,E,,train,4400,0.23698403765992335,0.059776060288500805,0.6875191075929613,0.03626569905055894,0.18641408889218508,0.019578323208204237,0.2451418171100595,0.05440690950255015,0.21458860759493673,0.07140298085775226,0.8720454545454546,0.006915965479410432
logistic,Table 1,Reasoning Only,,A+B,,train,4400,0.21150829814696098,0.07404297166732965,0.5927961511471025,0.06526013708836147,0.1624325597429746,0.039898820741198916,0.2487218326320711,0.08462611302743832,0.13389240506329114,0.049211089126964154,0.8861363636363636,0.008546179853165059
logistic,Table 1,Human + Reasoning,,A+B,,train,4400,0.25701098549122114,0.0707835529306161,0.699049062732107,0.04296054545494303,0.21795759743160942,0.03624911381627522,0.27069360902255635,0.05852727651944272,0.23221518987341772,0.10670225365073208,0.8786363636363637,0.007820295697311476
logistic,Table 1,Reasoning Only,,A+E,,train,4400,0.2046175088445204,0.09376132050713228,0.6195563699054979,0.05204572362832772,0.1758036602207183,0.039433378533787145,0.2606564192651149,0.10172730638565733,0.12139240506329114,0.07960847953843087,0.8929545454545454,0.005722581050915549
