part,family,model_name,model_type,reasoning_combo,set_id,f0.5_mean,f0.5_std,threshold_oof,full_train_f0.5
pt1,human,Human Legacy 1 (scaled durations),xgboost,n/a,,0.2258976139541768,0.01378681981786639,0.6800000000000002,0.22833723653395785
pt1,human,Human Legacy 2 (binary equivalents),xgboost,n/a,,0.2264090889809005,0.015139475314140062,0.7000000000000002,0.2099483204134367
pt1,human,Human Legacy 3 (mixed durations),xgboost,n/a,,0.23011182329993604,0.01559578563504092,0.6800000000000002,0.23823529411764705
pt1,llm_engineered,Engineered set_01,xgboost,n/a,set_01,0.2420030720765506,0.029624996482501147,0.6600000000000001,0.24409871244635192
pt1,llm_engineered,Engineered set_04,xgboost,n/a,set_04,0.23840558389684746,0.013582289242640141,0.6300000000000001,0.24247491638795987
pt1,llm_engineered,Engineered set_05,xgboost,n/a,set_05,0.23887598925175252,0.02083123144805794,0.6400000000000001,0.24601063829787234
pt1,llm_engineered_plus_reasoning,Engineered set_01 + A+E,xgboost,A+E,set_01,0.2716697820410855,0.03384807910828829,0.6800000000000002,0.2700242718446602
pt1,llm_engineered_plus_reasoning,Engineered set_04 + A+E,xgboost,A+E,set_04,0.26825839809146573,0.035071792263413996,0.6300000000000001,0.2869897959183674
pt1,llm_engineered_plus_reasoning,Engineered set_05 + A+E,xgboost,A+E,set_05,0.28347915730168294,0.05324404188690945,0.7000000000000002,0.2915451895043732
pt2,HQ,Mirror HQ HQ (LOGISTIC),logistic,HQ,,0.23401127958802354,0.04139887768454602,0.21000000000000002,0.23875432525951557
pt2,HQ,Mirror HQ HQ (XGBOOST),xgboost,HQ,,0.2327988756152465,0.026900594279879772,0.6700000000000002,0.2350536535513541
pt2,A,Mirror HQ A (LOGISTIC),logistic,A,,0.2746314463374414,0.024361735752404926,0.18000000000000005,0.2776513427401001
pt2,A,Mirror HQ A (XGBOOST),xgboost,A,,0.2715994214382382,0.04227229791341603,0.6700000000000002,0.2773757838880849
pt2,A+E,Mirror HQ A+E (LOGISTIC),logistic,A+E,,0.28067109540019997,0.04218459681937428,0.21000000000000002,0.2914193200215866
pt2,A+E,Mirror HQ A+E (XGBOOST),xgboost,A+E,,0.2802061465836334,0.05459392383489994,0.6800000000000002,0.2846599894570374
pt2,A+F,Mirror HQ A+F (LOGISTIC),logistic,A+F,,0.30845596335509884,0.05622929716565438,0.24000000000000005,0.32323820617355853
pt2,A+F,Mirror HQ A+F (XGBOOST),xgboost,A+F,,0.29475067349161144,0.030239688917503053,0.6500000000000001,0.2985760220486909
pt2,A+D+E+F,Mirror HQ A+D+E+F (LOGISTIC),logistic,A+D+E+F,,0.3394584849082841,0.04256387303859615,0.25000000000000006,0.3365658870507701
pt2,A+D+E+F,Mirror HQ A+D+E+F (XGBOOST),xgboost,A+D+E+F,,0.3009027613330919,0.04153553332148473,0.6600000000000001,0.3129694541812719
pt2,A+B+C+D+E+F,Mirror HQ A+B+C+D+E+F (LOGISTIC),logistic,A+B+C+D+E+F,,0.32939809328753716,0.054206249150500735,0.27,0.338777979431337
pt2,A+B+C+D+E+F,Mirror HQ A+B+C+D+E+F (XGBOOST),xgboost,A+B+C+D+E+F,,0.3004730485579847,0.04028612481415548,0.6600000000000001,0.30617283950617286
