run_id,n_rules,repeat,set_id,resultant_features,roc_auc,roc_auc_std,pr_auc,pr_auc_std,precision,precision_std,recall,recall_std,f0.5,f0.5_std,accuracy,accuracy_std,precision@1%,precision@1%_std,precision@5%,precision@5%_std,precision@10%,precision@10%_std
run_1_1,1,1,set_01,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_2,1,2,set_02,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_3,1,3,set_03,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_4,1,4,set_04,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_5,1,5,set_05,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_6,1,6,set_06,1,0.588,0.028,0.117,0.011,0.159,0.022,0.366,0.058,0.18,0.025,0.769,0.015,0.36,0.25,0.132,0.077,0.134,0.049
run_1_7,1,7,set_07,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_8,1,8,set_08,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_9,1,9,set_09,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_1_10,1,10,set_10,1,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_2_1,2,1,set_01,2,0.557,0.038,0.116,0.022,0.156,0.049,0.141,0.123,0.138,0.059,0.859,0.035,0.22,0.166,0.186,0.069,0.145,0.048
run_2_2,2,2,set_02,2,0.605,0.021,0.14,0.016,0.213,0.02,0.326,0.049,0.229,0.021,0.831,0.012,0.3,0.134,0.205,0.079,0.198,0.048
run_2_3,2,3,set_03,2,0.536,0.027,0.111,0.018,0.137,0.037,0.184,0.054,0.144,0.039,0.823,0.013,0.24,0.233,0.159,0.051,0.12,0.039
run_2_4,2,4,set_04,2,0.603,0.034,0.122,0.013,0.156,0.028,0.361,0.062,0.176,0.031,0.766,0.019,0.24,0.215,0.091,0.054,0.139,0.069
run_2_5,2,5,set_05,2,0.586,0.033,0.118,0.012,0.158,0.022,0.361,0.061,0.178,0.025,0.77,0.015,0.14,0.237,0.109,0.094,0.123,0.047
run_2_6,2,6,set_06,2,0.595,0.035,0.119,0.012,0.16,0.025,0.348,0.054,0.179,0.027,0.776,0.017,0.3,0.313,0.123,0.058,0.132,0.052
run_2_7,2,7,set_07,2,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_2_8,2,8,set_08,2,0.527,0.025,0.098,0.006,0.128,0.036,0.167,0.051,0.134,0.038,0.823,0.013,0.08,0.098,0.118,0.03,0.111,0.037
run_2_9,2,9,set_09,2,0.592,0.03,0.134,0.013,0.195,0.028,0.26,0.052,0.205,0.03,0.837,0.013,0.16,0.196,0.195,0.058,0.175,0.032
run_2_10,2,10,set_10,2,0.536,0.027,0.111,0.018,0.137,0.037,0.184,0.054,0.144,0.039,0.823,0.013,0.24,0.233,0.159,0.051,0.12,0.039
run_3_1,3,1,set_01,3,0.56,0.043,0.119,0.024,0.137,0.037,0.184,0.054,0.144,0.039,0.823,0.013,0.28,0.24,0.127,0.064,0.13,0.051
run_3_2,3,2,set_02,3,0.57,0.04,0.13,0.021,0.212,0.105,0.109,0.051,0.177,0.084,0.881,0.015,0.28,0.223,0.2,0.094,0.127,0.038
run_3_3,3,3,set_03,3,0.554,0.035,0.126,0.027,0.144,0.084,0.094,0.098,0.111,0.061,0.859,0.058,0.3,0.257,0.164,0.094,0.139,0.051
