table,regression,set_id,reasoning_combo,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
Table HQ,HQ Only,,,0.1978142154913764,0.06128082586896816,0.6567320624720251,0.03341521276736108,0.18616712645113123,0.0299425400196982,0.23423565375113364,0.07266837373509479,0.13666666666666666,0.058864027228114145,0.8809090909090909,0.014944802020703285
Table HQ,HQ Only (+repeat_founding_gap),,,0.209498399623436,0.057069640251672875,0.655529079145086,0.0324694780263539,0.18300860358205118,0.02663688911688091,0.24428407296403049,0.07627868922524535,0.15185897435897436,0.06121405545413042,0.8788636363636364,0.016856528764353326
Table HQ,Reasoning Only,,A,0.21471313632337535,0.07479531187737908,0.5977630545031652,0.06872920325345837,0.17816083008042544,0.05110617359412308,0.25693282958088054,0.0774160006572216,0.1367948717948718,0.06987720515398059,0.8886363636363637,0.006182486594879744
Table HQ,HQ + Reasoning,,A,0.2684285270507277,0.07247107842530484,0.6883822878700684,0.04592044472092563,0.2187652915032646,0.05335904967965864,0.27783373849859294,0.07812357330318265,0.2430128205128205,0.07301248283391443,0.8736363636363637,0.016268663789248437
Table HQ,Reasoning Only,,B,0.11323114282309646,0.018303426816160588,0.5010809798420615,0.04295936474414145,0.09407794138162069,0.008589582690227218,0.095338673055719,0.015207600539276318,0.4648717948717948,0.10763345461457717,0.5575,0.05687315522391884
Table HQ,HQ + Reasoning,,B,0.19947527693497355,0.06807877439773406,0.6560914552560905,0.03460775470119204,0.18741777325499567,0.03389098395907481,0.22874738052662408,0.07168188462169896,0.14647435897435898,0.06787383997190102,0.8786363636363635,0.017492619458994423
Table HQ,Reasoning Only,,E,0.1288667923557978,0.051858254850915955,0.5372870472057036,0.08276591895376453,0.11837206758854305,0.03637048306042843,0.11293852534569966,0.047629003625772916,0.3523717948717949,0.17847103616415438,0.6838636363636363,0.08316722425380474
Table HQ,HQ + Reasoning,,E,0.19781941413293302,0.07054980866864718,0.6665635186872563,0.0416813913905955,0.19277680827974408,0.031848239525241545,0.228115638239208,0.0884337032143172,0.14121794871794874,0.048018811032945745,0.8770454545454547,0.01858779702781121
Table HQ,Reasoning Only,,A+B,0.1984151840795095,0.06372805661261943,0.5913706415052113,0.0706621877898034,0.17410208764445279,0.04821090902870179,0.2414809586548717,0.07352870260135644,0.12679487179487178,0.06234764467759933,0.8852272727272729,0.01245860915787793
Table HQ,HQ + Reasoning,,A+B,0.23640731649938962,0.07647524739397805,0.6881780832374192,0.042840505575923636,0.21864050634893722,0.05172917642652882,0.25822300140862453,0.08305283655302613,0.19493589743589743,0.09314455496516219,0.8772727272727272,0.014409879531043055
Table HQ,Reasoning Only,,A+E,0.20117511518879297,0.11038137410216245,0.6142128305038684,0.06127219435633221,0.18317037368684735,0.04928906105692425,0.2543842298052824,0.11929397371499331,0.12705128205128208,0.09885222303360243,0.8902272727272725,0.013524159588010778
Table HQ,HQ + Reasoning,,A+E,0.2468207591574342,0.10093337276571135,0.7023547813159409,0.0435134087808069,0.23157204521473512,0.05955766810115942,0.2789741773674275,0.11325134672842224,0.18756410256410255,0.0940933936704001,0.8840909090909091,0.01469384534113146
Table HQ,Reasoning Only,,B+E,0.12638811911968859,0.0479896193521419,0.5289334046694163,0.06601508054157308,0.10996256180958315,0.025949557633414885,0.11114683652661314,0.042277671325795844,0.3014102564102564,0.13988460304703035,0.7261363636363637,0.048524190950885684
Table HQ,HQ + Reasoning,,B+E,0.19013855410047154,0.06439741669850454,0.6604022963424773,0.041098822830614834,0.18873069067031673,0.031664597360903185,0.22625755607748244,0.08443264230798604,0.126025641025641,0.041937188873968266,0.8800000000000001,0.017362208413440265
Table HQ,Reasoning Only,,A+B+E,0.18306740758753143,0.09008411149476596,0.6098099297029862,0.06427958813945768,0.17812850016317067,0.04945746774882416,0.22283609908609908,0.10919466734912685,0.13737179487179488,0.11172584098462288,0.8788636363636364,0.021847754579482296
Table HQ,HQ + Reasoning,,A+B+E,0.2615492191183949,0.11041476196584254,0.6974034209348424,0.04359556518647206,0.2271047684297646,0.058950799887165166,0.2960633116883117,0.1305627186980321,0.19525641025641027,0.092259691935761,0.8852272727272729,0.016801281434796547
