table,regression,set_id,reasoning_combo,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
Table HQ,HQ Only,,,0.206359281478459,0.02705666799966599,0.6595654726489041,0.022123230349584595,0.18388167087409366,0.01823808728609705,0.2516900420757363,0.04522214358184242,0.1312974683544304,0.03051138410768413,0.8838636363636363,0.014541902975496724
Table HQ,HQ Only (+repeat_founding_gap),,,0.2154460453166255,0.029388720245917297,0.6580688763748637,0.02105974092876211,0.18065813568855388,0.016200552649398445,0.2494112769485904,0.043656132911769056,0.1615506329113924,0.046682310384857026,0.8775000000000001,0.015471247659197747
Table HQ,Reasoning Only,,A,0.2279340722668314,0.05930271238706179,0.6042850484313517,0.06328519766090052,0.17087046386227836,0.04170813154890086,0.26395937025918054,0.04809315257697202,0.17186708860759492,0.09611006965716384,0.8838636363636365,0.011883560420364894
Table HQ,HQ + Reasoning,,A,0.2568674985801588,0.04319201647574226,0.6930259746025538,0.040409638667955626,0.21739210207652265,0.03928470534037246,0.2620460922794131,0.03704243273345944,0.244873417721519,0.0763345716712842,0.8713636363636363,0.005445067523050401
Table HQ,Reasoning Only,,B,0.11348055725867741,0.012203886844838092,0.5037138686165631,0.022331033776367006,0.09480265769107707,0.009732668836824897,0.09538611623557453,0.00975017653307563,0.4798101265822784,0.10223907311993928,0.5486363636363637,0.04577952012428612
Table HQ,HQ + Reasoning,,B,0.20730754162724224,0.05928062691637743,0.6546864352214004,0.021669547841288425,0.18222115725803648,0.021410955247403062,0.24774279098664714,0.08305808046178918,0.13123417721518985,0.03319069653026396,0.883409090909091,0.012788004451486546
Table HQ,Reasoning Only,,E,0.11795166245197881,0.008579384458873612,0.5243704096392563,0.023300804271274737,0.10230554543763257,0.005355677363669994,0.10302883392486584,0.008571470744918708,0.34617088607594937,0.16722425688580905,0.6609090909090909,0.14369245164989367
Table HQ,HQ + Reasoning,,E,0.2234037375524936,0.05268334305656931,0.6695285206683892,0.03514373846282082,0.1872582006470227,0.026053960408178995,0.25364802898964395,0.06335362618222361,0.15401898734177216,0.03605312402501102,0.8822727272727272,0.009685125342119334
Table HQ,Reasoning Only,,A+B,0.21150829814696098,0.07404297166732965,0.5927961511471025,0.06526013708836147,0.1624325597429746,0.039898820741198916,0.2487218326320711,0.08462611302743832,0.13389240506329114,0.049211089126964154,0.8861363636363636,0.008546179853165059
Table HQ,HQ + Reasoning,,A+B,0.2597933214982302,0.043841923711709634,0.6902125994603264,0.033115196605881886,0.21322213594018669,0.03718878771110517,0.28116187547930005,0.048568116811506835,0.20458860759493672,0.04643279710173871,0.8809090909090909,0.008784612768221697
Table HQ,Reasoning Only,,A+E,0.2046175088445204,0.09376132050713228,0.6195563699054979,0.05204572362832772,0.1758036602207183,0.039433378533787145,0.2606564192651149,0.10172730638565733,0.12139240506329114,0.07960847953843087,0.8929545454545454,0.005722581050915549
Table HQ,HQ + Reasoning,,A+E,0.27182710714979025,0.05544863624512749,0.7067354258521785,0.039679963320351085,0.2221852371862667,0.04303805581245022,0.3225450897553361,0.06731383124304981,0.1693354430379747,0.03677433053089932,0.8929545454545454,0.007092948424694196
Table HQ,Reasoning Only,,B+E,0.12741186918592945,0.020435029293137133,0.5210215904713648,0.025015091256806902,0.10296595868711586,0.010776476207347866,0.11336798602608922,0.014994083432055123,0.28056962025316456,0.12475831466235605,0.7454545454545454,0.05037052791707297
Table HQ,HQ + Reasoning,,B+E,0.21228858572925352,0.05446857492775136,0.6621521097540258,0.03344198165467625,0.18293058483224037,0.023769420146947662,0.2493710605014953,0.050179113974979477,0.13639240506329114,0.04837116152983669,0.8868181818181817,0.0038435305739290587
Table HQ,Reasoning Only,,A+B+E,0.1786339337017097,0.07404388422830799,0.6126146419280093,0.05237439293959078,0.16807341315722898,0.04285006486877514,0.22806060606060602,0.08949970117581481,0.12392405063291138,0.10581279100044849,0.885,0.016044875086111625
Table HQ,HQ + Reasoning,,A+B+E,0.26111511784176616,0.0657072159766237,0.70027052408777,0.03773965168950748,0.21834295181048727,0.04376801526271381,0.3020386713243856,0.07942109461133784,0.17180379746835445,0.04382384696224307,0.8893181818181819,0.008993799517004243
