table,regression,set_id,reasoning_combo,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
Table HQ,XGB HQ Only,,,0.2071169116725596,0.015736479791230242,0.6660529590187897,0.017704930041556013,0.1764271302421622,0.00964057486788147,0.19938130213513858,0.02192026276352003,0.25996835443037974,0.044763662172006335,0.8365909090909092,0.022549303190568123
Table HQ,XGB HQ Only (+repeat_founding_gap),,,0.2233668225179429,0.010526383277367614,0.6646874032805117,0.019472394875492047,0.17558945032587844,0.009342720792605891,0.22594736181692704,0.018627466144224922,0.2297151898734177,0.053520545646331415,0.8584090909090911,0.015507929190210898
Table HQ,XGB Reasoning Only,,A,0.2679258474950409,0.02979847140568555,0.6408626499806414,0.049458510959651175,0.17274158642345833,0.016050032800551138,0.2620812454669964,0.03058870420781064,0.2979430379746836,0.043261935889874294,0.860909090909091,0.009496628370807347
Table HQ,XGB HQ + Reasoning,,A,0.24425848587490143,0.03208557373091242,0.7040504961657896,0.024142794601165214,0.1985184295272136,0.015388096217708267,0.24598947027195495,0.03513240368770756,0.2524367088607595,0.058376564351649916,0.8615909090909092,0.015686758115215818
Table HQ,XGB Reasoning Only,,B,0.17939490118269738,0.03250533663783818,0.5427769728849619,0.027007144875678374,0.11613757307834072,0.008972689698820537,0.23399364093463473,0.051076540006500804,0.0958860759493671,0.016613170567603402,0.8888636363636364,0.008930401229267523
Table HQ,XGB HQ + Reasoning,,B,0.21247362955564691,0.02166024989450112,0.6663129237434615,0.021068519507622657,0.17455172651348266,0.011858694818497452,0.20649217587280627,0.028725582113493027,0.2730063291139241,0.07467627619643508,0.8352272727272727,0.03154100047151009
Table HQ,XGB Reasoning Only,,E,0.1810473228769807,0.025187305755750913,0.5454269917992145,0.025465031793744687,0.12385855484442372,0.013307399501655656,0.228112397186731,0.0381266445700137,0.1009493670886076,0.013291139240506329,0.8875,0.006626081698687855
Table HQ,XGB HQ + Reasoning,,E,0.20726333582722956,0.02990797087261532,0.6783328529458825,0.03207131386071023,0.1814551756414357,0.015611408566662294,0.2153364128649676,0.04290442599249976,0.25455696202531647,0.1338115389653029,0.8345454545454546,0.06274785564805979
Table HQ,XGB Reasoning Only,,A+B,0.2514528221981175,0.02691894455945578,0.63723637260189,0.045343091651200776,0.17231327021514792,0.01633263781668018,0.2485744023636852,0.025811732390620425,0.2675316455696203,0.046600333595064394,0.8613636363636363,0.007840085595754692
Table HQ,XGB HQ + Reasoning,,A+B,0.2621182606281606,0.04761233015998898,0.7018681854861013,0.022945996120418376,0.1962031204165018,0.014776441798385023,0.2566083010372122,0.0473118991443356,0.28787974683544304,0.05149616170867344,0.8606818181818181,0.010429812641439771
Table HQ,XGB Reasoning Only,,A+E,0.26371807333356434,0.02205046409706503,0.6377736130617977,0.03053833153687077,0.1744007537074292,0.014844989572621326,0.2616286067272437,0.019873392426518834,0.27522151898734176,0.03846773796682838,0.865,0.0060302268915552616
Table HQ,XGB HQ + Reasoning,,A+E,0.26244164392446834,0.027284582654299717,0.7079165083894341,0.028930697869587452,0.19974139506819327,0.015454051408991658,0.27229270858782956,0.012825331800618798,0.23977848101265825,0.05766545272857295,0.8745454545454546,0.006915965479410422
Table HQ,XGB Reasoning Only,,B+E,0.17798686311092266,0.036310784691563035,0.552862119838335,0.025980055891857257,0.12610353907765662,0.010516081756814738,0.2157364315334319,0.051284099363291445,0.10854430379746835,0.020302550547272705,0.8820454545454546,0.012141554899266438
Table HQ,XGB HQ + Reasoning,,B+E,0.21189953157296992,0.01703271949385144,0.6771922616014001,0.0330790615581905,0.1804990325536843,0.016305237925223762,0.22228013719716935,0.028978972722701675,0.2020253164556962,0.0593809867405742,0.8602272727272728,0.026766128218976868
Table HQ,XGB Reasoning Only,,A+B+E,0.25092688791420037,0.04525758558880272,0.6400979384946032,0.03240454504336416,0.17580813447172774,0.015555315931962304,0.2565743761675325,0.03879538684513277,0.2346518987341772,0.06436509711517857,0.871590909090909,0.0031327383527477797
Table HQ,XGB HQ + Reasoning,,A+B+E,0.25746234799170326,0.020231534305583426,0.705674308642085,0.02645969247406969,0.1986433085323471,0.014652870269627234,0.2557095034821765,0.024669038258841404,0.2726898734177215,0.04177641903789968,0.8620454545454544,0.012124526062135576
