llm_feature,rank,human_feature,correlation
founder_uuid,1,founder_uuid,
founder_uuid,2,has_phd,
founder_uuid,3,has_ipo,
founder_uuid,4,industry_experience,
founder_uuid,5,large_company_experience,
multiple_exits,1,multiple_exits,1.0
multiple_exits,2,prior_ipos,0.45069768743976996
multiple_exits,3,prior_acquisitions,0.40979329616600824
multiple_exits,4,senior_leadership,0.04994351573818023
multiple_exits,5,qs_inverse_best,0.04061617851538143
industry_match,1,founder_uuid,
industry_match,2,has_phd,
industry_match,3,has_ipo,
industry_match,4,industry_experience,
industry_match,5,large_company_experience,
long_experience,1,founder_uuid,
long_experience,2,has_phd,
long_experience,3,has_ipo,
long_experience,4,industry_experience,
long_experience,5,large_company_experience,
technical_role,1,founder_uuid,
technical_role,2,has_phd,
technical_role,3,has_ipo,
technical_role,4,industry_experience,
technical_role,5,large_company_experience,
senior_leadership,1,founder_uuid,
senior_leadership,2,has_phd,
senior_leadership,3,has_ipo,
senior_leadership,4,industry_experience,
senior_leadership,5,large_company_experience,
stem_degree,1,founder_uuid,
stem_degree,2,has_phd,
stem_degree,3,has_ipo,
stem_degree,4,industry_experience,
stem_degree,5,large_company_experience,
short_tenure_pattern,1,founder_uuid,
short_tenure_pattern,2,has_phd,
short_tenure_pattern,3,has_ipo,
short_tenure_pattern,4,industry_experience,
short_tenure_pattern,5,large_company_experience,
has_mba,1,has_mba,0.9520287385968225
has_mba,2,qs_inverse_best,0.11001545738927712
has_mba,3,long_experience,0.1042188878411048
has_mba,4,large_company_years,0.0967392587611459
has_mba,5,qs_top_200,0.09438151951000182
startup_exp,1,founder_uuid,
startup_exp,2,has_phd,
startup_exp,3,has_ipo,
startup_exp,4,industry_experience,
startup_exp,5,large_company_experience,
has_phd,1,has_phd,0.9967465199223314
has_phd,2,stem_degree,0.31349230173809106
has_phd,3,qs_top_200,0.19771073189040397
has_phd,4,qs_top_25,0.17702258041626562
has_phd,5,large_company_years,0.14108294624240075
prior_acquisitions,1,founder_uuid,
prior_acquisitions,2,has_phd,
prior_acquisitions,3,has_ipo,
prior_acquisitions,4,industry_experience,
prior_acquisitions,5,large_company_experience,
prior_ipos,1,founder_uuid,
prior_ipos,2,has_phd,
prior_ipos,3,has_ipo,
prior_ipos,4,industry_experience,
prior_ipos,5,large_company_experience,
qs_top_200,1,founder_uuid,
qs_top_200,2,has_phd,
qs_top_200,3,has_ipo,
qs_top_200,4,industry_experience,
qs_top_200,5,large_company_experience,
qs_top_25,1,founder_uuid,
qs_top_25,2,has_phd,
qs_top_25,3,has_ipo,
qs_top_25,4,industry_experience,
qs_top_25,5,large_company_experience,
large_company_years,1,founder_uuid,
large_company_years,2,has_phd,
large_company_years,3,has_ipo,
large_company_years,4,industry_experience,
large_company_years,5,large_company_experience,
qs_inverse_best,1,founder_uuid,
qs_inverse_best,2,has_phd,
qs_inverse_best,3,has_ipo,
qs_inverse_best,4,industry_experience,
qs_inverse_best,5,large_company_experience,
