founder_uuid,success,industry,ipos,acquisitions,educations_json,jobs_json,anonymised_prose
33159ebb-97ff-43fe-a80e-31fdcf467065,1,"Technology, Information & Internet Platforms",,,"[
  {
    ""degree"": ""BA"",
    ""field"": ""Computer Science"",
    ""qs_ranking"": ""1""
  }
]","[
  {
    ""role"": ""CTO"",
    ""company_size"": ""myself only employees"",
    ""industry"": ""Sports Teams & Leagues"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""CTO"",
    ""company_size"": ""2-10 employees"",
    ""industry"": ""E-Learning"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Software Engineer"",
    ""company_size"": ""2-10 employees"",
    ""industry"": ""Wellness & Community Health"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Graduate Fellow (NSF)"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Environmental & Waste Services"",
    ""duration"": ""4-5""
  }
]","This founder leads a startup in the Technology, Information & Internet Platforms industry.
Education:
* BA in Computer Science (Institution QS rank 1)

Professional experience:
* CTO for <2 years in the `Sports Teams & Leagues` industry (myself only employees)
* CTO for <2 years in the `E-Learning` industry (2-10 employees)
* Software Engineer for <2 years in the `Wellness & Community Health` industry (2-10 employees)
* Graduate Fellow (NSF) for 4-5 years in the `Environmental & Waste Services` industry (201-500 employees)
"
33a7bba0-2ef6-415b-b73c-3dc994b8a86e,1,Entertainment & Live Arts,,,"[
  {
    ""degree"": """",
    ""field"": """",
    ""qs_ranking"": ""6""
  }
]","[
  {
    ""role"": ""Board of Directors, VP"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Business Development, Product Marketing Consultant"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  },
  {
    ""role"": ""VP (Licensing)"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""VP"",
    ""company_size"": ""51-200 employees"",
    ""industry"": ""Entertainment & Live Arts"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Director (Marketing)"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""Senior Product Manager"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Gaming"",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Entertainment & Live Arts industry.
Education:
* (Institution QS rank 6)

Professional experience:
* Board of Directors, VP for 2-3 years
* Business Development, Product Marketing Consultant for <2 years
* VP (Licensing) for 2-3 years
* VP for 2-3 years in the `Entertainment & Live Arts` industry (51-200 employees)
* Director (Marketing) for 4-5 years
* Senior Product Manager for <2 years in the `Gaming` industry (201-500 employees)
"
0fe9fcdf-eb06-4e2c-88d8-04468b427298,1,Industrial & Agricultural Machinery Manufacturing,,,,"[
  {
    ""role"": ""Security Expert"",
    ""company_size"": ""5001-10000 employees"",
    ""industry"": ""Networking & Cybersecurity Products"",
    ""duration"": ""6-9""
  }
]","This founder leads a startup in the Industrial & Agricultural Machinery Manufacturing industry.
Professional experience:
* Security Expert for 6-9 years in the `Networking & Cybersecurity Products` industry (5001-10000 employees)
"
4f5620d4-9db8-4cfc-a1f5-2fd917472865,1,Research Services & Market Analysis,,,"[
  {
    ""degree"": ""PhD"",
    ""field"": ""Physics"",
    ""qs_ranking"": ""6""
  },
  {
    ""degree"": ""BS"",
    ""field"": ""Physics"",
    ""qs_ranking"": ""63""
  }
]","[
  {
    ""role"": ""Professor"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Higher Education & Research"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Founder, President, CEO"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""6-9""
  },
  {
    ""role"": ""Associate Professor"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Higher Education & Research"",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""Assistant Professor"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Higher Education & Research"",
    ""duration"": "">9""
  },
  {
    ""role"": ""MTS, Technical Manager"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Telecommunications Services"",
    ""duration"": ""4-5""
  }
]","This founder leads a startup in the Research Services & Market Analysis industry.
Education:
* PhD in Physics (Institution QS rank 6)
* BS in Physics (Institution QS rank 63)

Professional experience:
* Professor for <2 years in the `Higher Education & Research` industry (10001+ employees)
* Founder, President, CEO for 6-9 years
* Associate Professor for 4-5 years in the `Higher Education & Research` industry (10001+ employees)
* Assistant Professor for >9 years in the `Higher Education & Research` industry (10001+ employees)
* MTS, Technical Manager for 4-5 years in the `Telecommunications Services` industry (10001+ employees)
"
c347a753-2280-48f8-9a78-8bcff30dd0ac,1,Biotechnology & Nanotechnology Research,"[{'amount_raised_usd': '50M - 150M', 'valuation_usd': '>500M'}]","[{'price_usd': 'Undisclosed', 'acquired_by_well_known': False}, {'price_usd': '>500M', 'acquired_by_well_known': False}]","[
  {
    ""degree"": """",
    ""field"": """",
    ""qs_ranking"": ""4""
  },
  {
    ""degree"": ""MD"",
    ""field"": """",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Executive Chairman"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""CEO"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Venture Capitalist"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""CEO"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""4-5""
  }
]","This founder leads a startup in the Biotechnology & Nanotechnology Research industry.
Education:
* (Institution QS rank 4)
* MD (Institution QS rank 200+)

Professional experience:
* Executive Chairman for 2-3 years in the `Biotechnology & Nanotechnology Research` industry (201-500 employees)
* CEO for 2-3 years in the `Biotechnology & Nanotechnology Research` industry (201-500 employees)
* Venture Capitalist for 4-5 years
* CEO for 4-5 years in the `Biotechnology & Nanotechnology Research` industry (201-500 employees)

 They previously led their company(s) through one IPO valued at >500M. They have overseen 2 acquisitions as a founder: one Undisclosed in value and one >500M in value."
8929322b-7b83-465c-932c-705cd95062d1,1,Financial Services,,,"[
  {
    ""degree"": ""BS"",
    ""field"": """",
    ""qs_ranking"": ""127""
  }
]","[
  {
    ""role"": ""Managing Director"",
    ""company_size"": ""51-200 employees"",
    ""industry"": ""Venture Capital & Private Equity"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Partner Managing Director"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""6-9""
  },
  {
    ""role"": ""Managing Director"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": "">9""
  }
]","This founder leads a startup in the Financial Services industry.
Education:
* BS (Institution QS rank 127)

Professional experience:
* Managing Director for <2 years in the `Venture Capital & Private Equity` industry (51-200 employees)
* Partner Managing Director for 6-9 years in the `Financial Services` industry (10001+ employees)
* Managing Director for >9 years in the `Financial Services` industry (10001+ employees)
"
610f21c9-80a7-4800-aff4-0896878ac6b3,1,"Technology, Information & Internet Platforms",,,"[
  {
    ""degree"": ""BS"",
    ""field"": ""Computer Science"",
    ""qs_ranking"": ""123""
  }
]","[
  {
    ""role"": """",
    ""company_size"": ""2-10 employees"",
    ""industry"": ""IT Services & Digital Solutions"",
    ""duration"": ""<2""
  },
  {
    ""role"": """",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  },
  {
    ""role"": """",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Marketing, Advertising & Events"",
    ""duration"": ""<2""
  },
  {
    ""role"": """",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Technology, Information & Internet Platforms industry.
Education:
* BS in Computer Science (Institution QS rank 123)

Professional experience:
* for <2 years in the `IT Services & Digital Solutions` industry (2-10 employees)
* 
* for <2 years in the `Marketing, Advertising & Events` industry (201-500 employees)
* 
"
06fa097f-85bb-4e50-a39e-7fc96a924680,1,"Technology, Information & Internet Platforms",,,"[
  {
    ""degree"": ""MSc"",
    ""field"": ""Earth Sciences"",
    ""qs_ranking"": ""6""
  },
  {
    ""degree"": ""MBA"",
    ""field"": """",
    ""qs_ranking"": ""6""
  },
  {
    ""degree"": ""BA"",
    ""field"": ""Economics"",
    ""qs_ranking"": ""11""
  }
]","[
  {
    ""role"": ""VP (Chief Investment Office)"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Analyst, Associate"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""6-9""
  }
]","This founder leads a startup in the Technology, Information & Internet Platforms industry.
Education:
* MSc in Earth Sciences (Institution QS rank 6)
* MBA (Institution QS rank 6)
* BA in Economics (Institution QS rank 11)

Professional experience:
* VP (Chief Investment Office) for 2-3 years in the `Financial Services` industry (10001+ employees)
* Analyst, Associate for 6-9 years in the `Financial Services` industry (10001+ employees)
"
9208eb0e-6e3a-48ef-bb2a-bfd366a0986e,1,"Technology, Information & Internet Platforms",[],[],"[
  {
    ""degree"": ""Master of Science"",
    ""field"": ""Learning and Organizational Change"",
    ""qs_ranking"": ""42""
  },
  {
    ""degree"": ""MFA"",
    ""field"": ""2D Design"",
    ""qs_ranking"": ""200+""
  },
  {
    ""degree"": ""BFA"",
    ""field"": ""Graphic Design"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Co-Founder, CCO"",
    ""company_size"": ""11-50 employees"",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""VP (User Experience)"",
    ""company_size"": ""501-1000 employees"",
    ""industry"": ""IT Services & Digital Solutions"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Co-Founder, Creative Director"",
    ""company_size"": ""11-50 employees"",
    ""industry"": ""Personal & Consumer Services"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Founder"",
    ""company_size"": ""2-10 employees"",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Interactive Design Director"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Adjunct Professor"",
    ""company_size"": ""501-1000 employees"",
    ""industry"": ""Higher Education & Research"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Web Manager"",
    ""company_size"": ""1001-5000 employees"",
    ""industry"": ""Higher Education & Research"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Communications Manager"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""2-3""
  }
]","This founder leads a startup in the Technology, Information & Internet Platforms industry.
Education:
* Master of Science in Learning and Organizational Change (Institution QS rank 42)
* MFA in 2D Design (Institution QS rank 200+)
* BFA in Graphic Design (Institution QS rank 200+)

Professional experience:
* Co-Founder, CCO for 2-3 years in the `Technology, Information & Internet Platforms` industry (11-50 employees)
* VP (User Experience) for <2 years in the `IT Services & Digital Solutions` industry (501-1000 employees)
* Co-Founder, Creative Director for <2 years in the `Personal & Consumer Services` industry (11-50 employees)
* Founder for <2 years in the `Technology, Information & Internet Platforms` industry (2-10 employees)
* Interactive Design Director for 2-3 years in the `Financial Services` industry (10001+ employees)
* Adjunct Professor for <2 years in the `Higher Education & Research` industry (501-1000 employees)
* Web Manager for <2 years in the `Higher Education & Research` industry (1001-5000 employees)
* Communications Manager for 2-3 years
"
a5851a0d-1cd1-4b18-ace9-6f0788abc0da,1,Software Development,,,"[
  {
    ""degree"": ""MSc"",
    ""field"": ""Microengineering"",
    ""qs_ranking"": ""200+""
  },
  {
    ""degree"": ""BSc"",
    ""field"": ""Microtechnique"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Software Engineer"",
    ""company_size"": ""11-50 employees"",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Software Engineer"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Software Development industry.
Education:
* MSc in Microengineering (Institution QS rank 200+)
* BSc in Microtechnique (Institution QS rank 200+)

Professional experience:
* Software Engineer for <2 years in the `Technology, Information & Internet Platforms` industry (11-50 employees)
* Software Engineer for <2 years
"
