model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 1,Human Only,,,,oof,4400,0.21528993164345964,0.03705988830213795,0.6737642378642599,0.02567597884341348,0.18143011076338558,0.015391680311546486,0.2097079368038437,0.03658289351857662,0.24234177215189873,0.04133662482393358,0.8490909090909092,0.011327214358524669
logistic,Table 1,Human Legacy 1 (scaled durations),,,,oof,4400,0.23300081513459253,0.026054955787633276,0.6768724489957174,0.022323574942913007,0.1873878111055865,0.013645798770471108,0.2202847169371441,0.028824629594174346,0.3080379746835443,0.022816082617782382,0.8377272727272727,0.01618909438046193
logistic,Table 1,Human Legacy 2 (binary equivalents),,,,oof,4400,0.21528993164345964,0.03705988830213795,0.6737642378642599,0.02567597884341348,0.18143011076338558,0.015391680311546486,0.2097079368038437,0.03658289351857662,0.24234177215189873,0.04133662482393358,0.8490909090909092,0.011327214358524669
logistic,Table 1,Human Legacy 3 (mixed durations),,,,oof,4400,0.23237206666687155,0.034249810014000286,0.6797461209978823,0.0236572618650205,0.1879999308757838,0.017405445480127013,0.22591978101782023,0.03615424218911651,0.26512658227848107,0.029691842515027413,0.8506818181818183,0.013965719541579295
logistic,Table 1,Reasoning Only,,A,,oof,4400,0.23417189330116966,0.06312698708842536,0.6042850484313517,0.06328519766090052,0.17087046386227836,0.04170813154890086,0.25093591841355106,0.06737305169655587,0.1868987341772152,0.05403284324681649,0.8763636363636363,0.01059685747897705
logistic,Table 1,Human + Reasoning,,A,,oof,4400,0.27816001726937434,0.039607621270075805,0.70078271476813,0.05058153936809139,0.22117664547709143,0.037932610189025814,0.28208514502599524,0.03915363411386569,0.2651582278481013,0.047381397144716564,0.8731818181818183,0.00735043710399828
logistic,Table 1,Reasoning Only,,B,,oof,4400,0.11348055725867741,0.012203886844838092,0.5037138686165631,0.022331033776367006,0.09480265769107707,0.009732668836824897,0.09538611623557453,0.00975017653307563,0.4798101265822784,0.10223907311993928,0.5486363636363637,0.04577952012428612
logistic,Table 1,Human + Reasoning,,B,,oof,4400,0.21875578455670172,0.0353003933506587,0.67457552863608,0.022585385762370076,0.18000688011382365,0.014363703235434188,0.22505900653223843,0.037474954519246345,0.19943037974683545,0.03389499038704107,0.8652272727272727,0.011535070491317757
logistic,Table 1,Reasoning Only,,E,,oof,4400,0.121578703710987,0.00804662695413986,0.5243704096392563,0.023300804271274737,0.10230554543763257,0.005355677363669994,0.10277120492288142,0.008056542177100775,0.49003164556962026,0.10981012658227847,0.5597727272727273,0.11129079250264944
logistic,Table 1,Human + Reasoning,,E,,oof,4400,0.23350397698567424,0.033223586429786366,0.6875191075929613,0.03626569905055894,0.18641408889218508,0.019578323208204237,0.22437949123261416,0.03297183594687238,0.282753164556962,0.04223112826103096,0.8465909090909092,0.014356010633957993
