n_rules,roc_auc,roc_auc_std,f0_5,f0_5_std,precision,precision_std,recall,recall_std,accuracy,accuracy_std,precision_at_1,precision_at_1_std,precision_at_5,precision_at_5_std,precision_at_10,precision_at_10_std,resultant_features
1,0.5331,0.019289893727027094,0.1386,0.01454647723677454,0.1311,0.009803060746521977,0.1869,0.06292932543735075,0.8176,0.017076299364909214,0.10800000000000001,0.08854377448471462,0.11939999999999999,0.004427188724235734,0.1133,0.007273238618387274,1.0
2,0.5664,0.03287755059814113,0.1661,0.03283443314570848,0.1568,0.028034898886130397,0.2499,0.09097795825851933,0.8131,0.031345564988438844,0.2,0.08110350040397625,0.1463,0.039874943399472194,0.13740000000000002,0.028640297950033033,2.0
3,0.5831,0.02713935232175677,0.17099999999999999,0.03135460271014626,0.18380000000000002,0.03449573242526611,0.16899999999999998,0.07121485487983216,0.8533,0.02425352208099546,0.256,0.05399588461684424,0.1787,0.03409480247127934,0.1563,0.03351633101108241,3.0
4,0.5992,0.03195761081321457,0.19319999999999998,0.022149993729620388,0.2082,0.0341623574518309,0.183,0.0683829088458675,0.8606,0.021515885604207273,0.27,0.07498147919467994,0.21139999999999998,0.03347702362981379,0.1839,0.029137413901870034,4.0
5,0.6281,0.017342625714310608,0.19039999999999999,0.024672071479936806,0.20070000000000002,0.033970739042757256,0.18209999999999998,0.03219195896838561,0.8571,0.020300246303924484,0.268,0.03293090409394258,0.2158,0.028634866082375095,0.1901,0.020679834514704322,5.0
6,0.6242,0.02037863805284567,0.1913,0.03409806120262232,0.20659999999999998,0.048785699179620695,0.17880000000000001,0.043093696368107795,0.857,0.02641968962724583,0.266,0.057387571244419594,0.21189999999999998,0.035281250922645405,0.1873,0.02215124777022229,6.0
7,0.6275999999999999,0.022066565961502353,0.1966,0.018215988093491436,0.2057,0.03929107899878661,0.22999999999999998,0.10493701814792422,0.8421,0.04677000463259904,0.292,0.05181162460726785,0.205,0.025858589804292634,0.1842,0.017762632437538964,7.0
8,0.6441,0.011985639555549626,0.1968,0.03070939052906565,0.20550000000000002,0.039232214654116415,0.1997,0.05362638239606405,0.8539,0.02637107000736477,0.266,0.04812021982031625,0.22679999999999997,0.026084478143140993,0.1993,0.017975600747185672,8.0
9,0.6329,0.023038373785201672,0.1896,0.03214965007585618,0.2032,0.03453758017644613,0.1804,0.05955427030122284,0.8611000000000001,0.02008011730820099,0.284,0.05561774297230457,0.21550000000000002,0.03047494417094513,0.19290000000000002,0.02252628094766939,9.0
10,0.6529,0.010386422761363884,0.2105,0.02597113782644111,0.2184,0.03453243242068083,0.209,0.04809712396114069,0.8602000000000001,0.0175676470314673,0.3,0.029814239699997202,0.24,0.029623564193991835,0.2117,0.02100290985130922,10.0
11,0.6502000000000001,0.02119643575908199,0.20179999999999998,0.02446221576227307,0.21030000000000001,0.02275497503599793,0.195,0.048682645778552344,0.8608,0.014312387796746043,0.252,0.05181162460726786,0.2263,0.023012315543349114,0.20590000000000003,0.017071418609281814,11.0
12,0.6547000000000001,0.011460560389633884,0.21059999999999998,0.017908408949739534,0.2243,0.02092340528902714,0.185,0.03873843913565267,0.8688,0.012136263382478559,0.298,0.04263540521418529,0.24180000000000001,0.020269298074784062,0.2071,0.016855266239368633,11.7
13,0.656,0.011234866364235159,0.22069999999999998,0.020843597471539205,0.2364,0.027613201351688446,0.2044,0.06097394707760211,0.8661,0.015466451147923724,0.274,0.04115013163202924,0.24,0.022395436042987767,0.2144,0.01230356768493504,12.7
14,0.6536000000000001,0.019585709075752186,0.2122,0.023451131221234423,0.23160000000000003,0.02576905982849287,0.188,0.06309604671539344,0.8689,0.01870502012235699,0.274,0.03272783388968954,0.2427,0.028071535603010945,0.21269999999999997,0.013565069521057061,13.4
15,0.6613,0.013416821945271207,0.21749999999999997,0.03021129295846543,0.2419,0.04313402884550021,0.1762,0.03448284597690084,0.8728,0.015208184930782805,0.288,0.03675746333890726,0.2493,0.025113298823089287,0.21139999999999998,0.017864925288272424,14.5
16,0.663,0.014914571547464749,0.20990000000000003,0.013955882869480763,0.2239,0.017597032578123947,0.1822,0.03282884910156514,0.8684,0.010616548926610363,0.292,0.06338594306135847,0.23820000000000002,0.022977283467711218,0.2104,0.013858010118499858,15.7
17,0.656,0.018481221700838813,0.20939999999999998,0.015399855699179635,0.21800000000000003,0.021312489817527713,0.2081,0.05126716514712142,0.8582000000000001,0.019263090786960108,0.28600000000000003,0.031340424729448424,0.2344,0.02354286870087557,0.2102,0.014171959795470932,15.5
18,0.6658000000000001,0.013045220495559976,0.2165,0.021135804271951,0.2334,0.022608749535424452,0.19039999999999999,0.04676941070590668,0.8699,0.013666260156555896,0.268,0.045411696975803745,0.24130000000000001,0.020401797306446645,0.21400000000000002,0.01806777364382353,17.0
19,0.6653,0.008433399209228894,0.22210000000000002,0.011327939893123655,0.23020000000000002,0.021750095785229694,0.21459999999999999,0.04157509938519557,0.8625,0.014477952586989348,0.28200000000000003,0.02740640638812595,0.24090000000000003,0.020738852427267997,0.2192,0.010141224997230096,18.0
20,0.6651,0.023760144032485258,0.2103,0.026952839471112426,0.22069999999999998,0.024666891890863657,0.1964,0.035612731805727375,0.8633,0.006766748767974844,0.27199999999999996,0.04022160834399562,0.2385,0.025369491739313806,0.2124,0.02432282878285336,19.6
