feature_name,feature_group,selection_frequency,positive_selection_frequency,negative_selection_frequency,sign_consistency,sign_stable,dominant_sign,best_c_value,subsample_count,c_grid_size,stable_at_0p6,stable_at_0p8,stable_at_0p9,selection_freq_c_0p01,positive_selection_freq_c_0p01,negative_selection_freq_c_0p01,selection_freq_c_0p03,positive_selection_freq_c_0p03,negative_selection_freq_c_0p03,selection_freq_c_0p1,positive_selection_freq_c_0p1,negative_selection_freq_c_0p1,selection_freq_c_0p3,positive_selection_freq_c_0p3,negative_selection_freq_c_0p3,selection_freq_c_1p0,positive_selection_freq_c_1p0,negative_selection_freq_c_1p0,selection_freq_c_3p0,positive_selection_freq_c_3p0,negative_selection_freq_c_3p0,family_id,family_label,family_display_label,outer_split_id,repeat_index,fold_index
best_degree_prestige,hq,1.0,1.0,0.0,1.0,True,positive,0.1,100,6,True,True,True,0.0,0.0,0.0,0.93,0.93,0.0,1.0,1.0,0.0,0.99,0.99,0.0,0.99,0.98,0.01,0.99,0.98,0.01,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
edu_prestige_tier,hq,1.0,1.0,0.0,1.0,True,positive,0.1,100,6,True,True,True,0.0,0.0,0.0,0.93,0.93,0.0,1.0,1.0,0.0,0.99,0.99,0.0,0.99,0.98,0.01,0.99,0.98,0.01,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
industry_alignment,hq,1.0,1.0,0.0,1.0,True,positive,1.0,100,6,True,True,True,0.0,0.0,0.0,0.19,0.19,0.0,0.97,0.97,0.0,0.99,0.99,0.0,1.0,1.0,0.0,1.0,1.0,0.0,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
max_seniority_reached,hq,1.0,0.96,0.04,0.96,True,positive,3.0,100,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.95,0.95,0.0,0.97,0.96,0.01,1.0,0.96,0.04,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
restlessness_score,hq,1.0,0.0,1.0,1.0,True,negative,1.0,100,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.97,0.0,0.97,1.0,0.0,1.0,1.0,0.0,1.0,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
seniority_is_monotone,hq,1.0,0.08,0.92,0.92,True,negative,3.0,100,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.79,0.04,0.75,0.99,0.08,0.91,1.0,0.08,0.92,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
years_in_large_company,hq,1.0,0.95,0.05,0.95,True,positive,3.0,100,6,True,True,True,0.0,0.0,0.0,0.03,0.03,0.0,0.59,0.59,0.0,0.89,0.89,0.0,0.94,0.93,0.01,1.0,0.95,0.05,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
comfort_index,hq,0.99,0.86,0.13,0.8686868686868687,False,positive,3.0,100,6,True,True,True,0.0,0.0,0.0,0.06,0.06,0.0,0.64,0.62,0.02,0.84,0.79,0.05,0.91,0.82,0.09,0.99,0.86,0.13,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
industry_prestige_penalty,hq,0.99,0.93,0.06,0.9393939393939394,True,positive,3.0,100,6,True,True,True,0.0,0.0,0.0,0.02,0.02,0.0,0.68,0.68,0.0,0.85,0.85,0.0,0.93,0.9,0.03,0.99,0.93,0.06,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
total_inferred_experience,hq,0.99,0.05,0.94,0.9494949494949495,True,negative,3.0,100,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.96,0.0,0.96,0.95,0.01,0.94,0.99,0.05,0.94,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
