feature_name,feature_group,selection_frequency,positive_selection_frequency,negative_selection_frequency,sign_consistency,sign_stable,dominant_sign,best_c_value,subsample_count,c_grid_size,stable_at_0p6,stable_at_0p8,stable_at_0p9,selection_freq_c_0p01,positive_selection_freq_c_0p01,negative_selection_freq_c_0p01,selection_freq_c_0p03,positive_selection_freq_c_0p03,negative_selection_freq_c_0p03,selection_freq_c_0p1,positive_selection_freq_c_0p1,negative_selection_freq_c_0p1,selection_freq_c_0p3,positive_selection_freq_c_0p3,negative_selection_freq_c_0p3,selection_freq_c_1p0,positive_selection_freq_c_1p0,negative_selection_freq_c_1p0,selection_freq_c_3p0,positive_selection_freq_c_3p0,negative_selection_freq_c_3p0,family_id,family_label,family_display_label,outer_split_id,repeat_index,fold_index
best_degree_prestige,hq,1.0,1.0,0.0,1.0,True,positive,0.1,25,6,True,True,True,0.0,0.0,0.0,0.92,0.92,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.96,0.96,0.0,0.96,0.96,0.0,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
edu_prestige_tier,hq,1.0,1.0,0.0,1.0,True,positive,0.1,25,6,True,True,True,0.0,0.0,0.0,0.92,0.92,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.96,0.96,0.0,0.96,0.96,0.0,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
exit_x_serial,hq,1.0,0.68,0.32,0.68,False,positive,1.0,25,6,True,True,True,0.0,0.0,0.0,0.28,0.28,0.0,0.52,0.52,0.0,0.72,0.64,0.08,1.0,0.68,0.32,0.92,0.6,0.32,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
field_relevance_score,hq,1.0,0.36,0.64,0.64,False,negative,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.48,0.04,0.44,0.8,0.16,0.64,1.0,0.36,0.64,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
industry_alignment,hq,1.0,1.0,0.0,1.0,True,positive,0.1,25,6,True,True,True,0.0,0.0,0.0,0.28,0.28,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
industry_prestige_penalty,hq,1.0,0.88,0.12,0.88,False,positive,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.92,0.92,0.0,0.92,0.88,0.04,1.0,0.88,0.12,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
max_seniority_reached,hq,1.0,0.96,0.04,0.96,True,positive,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.0,0.96,0.96,0.0,0.96,0.96,0.0,1.0,0.96,0.04,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
repeat_founding_gap,hq,1.0,0.44,0.56,0.56,False,negative,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.6,0.28,0.32,0.92,0.44,0.48,1.0,0.44,0.56,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
restlessness_score,hq,1.0,0.0,1.0,1.0,True,negative,1.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.96,0.0,0.96,1.0,0.0,1.0,1.0,0.0,1.0,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
seniority_is_monotone,hq,1.0,0.04,0.96,0.96,True,negative,1.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.72,0.04,0.68,1.0,0.04,0.96,1.0,0.04,0.96,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
total_inferred_experience,hq,1.0,0.08,0.92,0.92,True,negative,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0.96,0.0,0.96,0.92,0.0,0.92,1.0,0.08,0.92,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
years_in_large_company,hq,1.0,0.92,0.08,0.92,True,positive,3.0,25,6,True,True,True,0.0,0.0,0.0,0.04,0.04,0.0,0.6,0.6,0.0,0.88,0.88,0.0,0.92,0.92,0.0,1.0,0.92,0.08,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
comfort_index,hq,0.96,0.8,0.16,0.8333333333333334,False,positive,1.0,25,6,True,True,True,0.0,0.0,0.0,0.04,0.04,0.0,0.6,0.56,0.04,0.92,0.8,0.12,0.96,0.8,0.16,0.96,0.8,0.16,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
company_size_is_growing,hq,0.96,0.84,0.12,0.875,False,positive,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.52,0.36,0.16,0.84,0.72,0.12,0.96,0.84,0.12,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
industry_pivot_count,hq,0.96,0.28,0.68,0.7083333333333334,False,negative,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.48,0.08,0.4,0.92,0.24,0.68,0.96,0.28,0.68,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
is_serial_founder,hq,0.96,0.08,0.88,0.9166666666666667,True,negative,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.48,0.0,0.48,0.92,0.04,0.88,0.96,0.08,0.88,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
longest_founding_tenure,hq,0.96,0.12,0.84,0.875,False,negative,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.92,0.0,0.92,0.88,0.0,0.88,0.96,0.12,0.84,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
max_company_size_before_founding,hq,0.96,0.84,0.12,0.875,False,positive,3.0,25,6,True,True,True,0.0,0.0,0.0,0.04,0.04,0.0,0.52,0.52,0.0,0.8,0.8,0.0,0.88,0.8,0.08,0.96,0.84,0.12,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
stem_flag,hq,0.96,0.72,0.24,0.75,False,positive,3.0,25,6,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.04,0.48,0.32,0.16,0.76,0.56,0.2,0.96,0.72,0.24,reasoning_A,A,HQ + A,repeat_01_fold_01,1,1
