family_id,family_label,family_display_label,route_group,route_label,evaluator_model,requested_n_components,actual_n_components,original_reasoning_feature_count,latent_feature_count,outer_split_count,outer_f0_5_mean,outer_f0_5_std,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,threshold_mean,threshold_std
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,48,0.20735464443219734,0.0459342387157509,0.23480061864168866,0.0525895416146391,0.15482954545454544,0.054933085538539636,0.16746811044565013,0.016568311917674255,0.23729166666666668,0.06030269422302421
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,48,0.2040727725246931,0.032775987559311215,0.22465803190424385,0.03721483669950407,0.18371212121212122,0.09113896651950272,0.1707750430550783,0.017513983464998422,0.7022916666666669,0.06776920340800502
reasoning_A,A,HQ + A,block_pls,HQ + A PLS-block (k=2),logistic,2.0,2,5,2,48,0.2930118546604515,0.03703814354557107,0.3084408030420714,0.03920707537619359,0.2529987373737374,0.058185146934425946,0.21993799050131915,0.020728218809482453,0.27062500000000006,0.041049068706447735
reasoning_A,A,HQ + A,block_pls,HQ + A PLS-block (k=2),xgb1,2.0,2,5,2,48,0.29381408744210047,0.032499333479143314,0.30035108024974716,0.0326931522766347,0.2859848484848485,0.07628446824149905,0.23090647545248436,0.02188110474325655,0.7518750000000001,0.046933297082135624
reasoning_A,A,HQ + A,block_pls,HQ + A PLS-block (k=3),logistic,3.0,3,5,3,48,0.2993037649212529,0.03823117891624672,0.31169883639652624,0.03653188000258401,0.2654671717171717,0.05532461037145947,0.22613666656944406,0.020321940739207258,0.27458333333333335,0.03582121888241971
reasoning_A,A,HQ + A,block_pls,HQ + A PLS-block (k=3),xgb1,3.0,3,5,3,48,0.2970688024001132,0.034770775434144204,0.300033760942178,0.03459630441143921,0.30666035353535354,0.08673593971579074,0.23681446620935956,0.022077606207416427,0.7418750000000003,0.05321560900400058
reasoning_A,A,HQ + A,raw_family,HQ + A (raw),logistic,,0,5,5,48,0.3016408657217324,0.0352495156168288,0.3121022919637131,0.03639174506667475,0.27320075757575757,0.05463845558700641,0.22582390035965028,0.019902113235739243,0.2685416666666667,0.03384951891172983
reasoning_A,A,HQ + A,raw_family,HQ + A (raw),xgb1,,0,5,5,48,0.2981191499234462,0.03327367363210374,0.3006081478563131,0.03411567466216025,0.30303030303030304,0.07258179367994835,0.23429335134443321,0.019969470052298693,0.7112500000000002,0.041110876500832096
reasoning_B,B,HQ + B,block_pls,HQ + B PLS-block (k=1),logistic,1.0,1,2,1,48,0.20346802951406465,0.04485195340260039,0.23347307906020517,0.05481052401594551,0.15072601010101008,0.058113179590481887,0.16665874965775512,0.01668995375463611,0.24937500000000004,0.07528850758914007
reasoning_B,B,HQ + B,block_pls,HQ + B PLS-block (k=1),xgb1,1.0,1,2,1,48,0.20056517386224146,0.03598849235282668,0.21909461898699453,0.039375483835020354,0.17945075757575757,0.08022133867110016,0.1701612822025785,0.017353677450173376,0.7004166666666668,0.06337580812546345
reasoning_B,B,HQ + B,block_pls,HQ + B PLS-block (k=2),logistic,2.0,2,2,2,48,0.20192693212551652,0.04353043974683113,0.23194031431678078,0.05586196565058914,0.1534090909090909,0.06316602581017237,0.1680161320787188,0.016913674674449083,0.24145833333333336,0.0563837145272364
reasoning_B,B,HQ + B,block_pls,HQ + B PLS-block (k=2),xgb1,2.0,2,2,2,48,0.20162548042078646,0.0354999591171433,0.22442832409333657,0.039629772713487194,0.16950757575757577,0.07508579994297335,0.17132154789818918,0.01739448401945964,0.7108333333333335,0.06264427791550924
reasoning_B,B,HQ + B,raw_family,HQ + B (raw),logistic,,0,2,2,48,0.20610986386493144,0.04448016877247251,0.23829245182806366,0.05764997258535145,0.1527777777777778,0.06340848247217029,0.16803479224662876,0.01689663200211426,0.24458333333333337,0.05859317129343848
